Make,Model,Variant,Ex-Showroom_Price(Rs.),Displacement(cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_Tank_Capacity(litres),Height(mm),Length(mm),Width(mm),Doors,City_Mileage(km/litre),Gears,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Seating_Capacity,Wheelbase(mm),Boot_Space(litres)
Honda,Amaze,S Cvt Petrol,763000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,E Mt Diesel,705000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1498,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,E Mt Petrol,593000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1498,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,S Cvt Diesel,865000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,V Cvt Petrol,823000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R15,175/65R15,5,2470,420
Honda,Amaze,V Cvt Diesel,925000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R15,175/65R15,5,2470,420
Honda,Amaze,S Mt Diesel,785000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Vx Mt Diesel,893000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,V Mt Diesel,845000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R15,175/65R15,5,2470,420
Honda,Amaze,Vx Mt Petrol,781000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,V Mt Petrol,733000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R15,175/65R15,5,2470,420
Honda,Amaze,S Mt Petrol,673000,1198,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Exclusive Edition Diesel,906000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,19.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Exclusive Edition Petrol,794000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Vx Cvt Diesel,966000,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Vx Cvt Petrol,864000,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Ace Edition Cvt Diesel,979300,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Ace Edition Cvt Petrol,877300,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Ace Edition Mt Diesel,906300,1498,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Honda,Amaze,Ace Edition Mt Petrol,794300,1199,4,4,FWD (Front Wheel Drive),BS 6,"Front, Transverse",35,1501,3995,1695,4,10.2,5,175/65R14,175/65R14,5,2470,420
Maruti Suzuki,Gypsy,Hard Top,637343,1298,4,4,4WD,BS III,"Front, Transverse",40,1875,4010,1540,3,10.2,5,205/70,205/70,8,2375,350
Lamborghini,Aventador,Lp 700-4,47893943,6498,12,4,4WD,BS IV,"Front, Longitudinal",90,1136,4780,2030,2,3,7,255/35,335/30,2,2700,110
Hyundai,Venue,1.2 Kappa Mt E,655000,1197,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,5,195 / 65 R15,195 / 65 R15,5,2500,350
Hyundai,Venue,1.0 Turbo Gdi Mt S,826000,998,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,7,195 / 65 R15,195 / 65 R15,5,2500,350
Hyundai,Venue,1.4 Crdi Mt E,780000,1397,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,6,195 / 65 R15,195 / 65 R15,5,2500,350
Hyundai,Venue,1.0 Turbo Gdi Mt Sx,959000,998,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,6,195 / 65 R15,195 / 65 R15,5,2500,350
Hyundai,Venue,1.0 Turbo Gdi Mt Sx Dual Tone,974000,998,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,6,215 / 60 R16,215 / 60 R16,5,2500,350
Hyundai,Venue,1.0 Turbo Gdi Mt Sx(O),1065000,998,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,6,215 / 60 R16,215 / 60 R16,5,2500,350
Hyundai,Venue,1.0 Turbo Gdi Dct S,940000,998,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,7,195 / 65 R15 Steel,195 / 65 R15 Steel,5,2500,350
Rolls Royce,Rolls-Royce Phantom,Sedan,95000000,6749,12,4,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",100,1638,5842,1990,4,10.2,8,255/50R21,285/45R21,5,3570,460
Rolls Royce,Rolls-Royce Phantom,Ewb,75400000,6749,12,4,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",100,1640,6092,1990,4,10.2,8,255/50R21,285/45R21,5,3820,460
Hyundai,Venue,1.4 Crdi Mt S,850000,1397,4,4,FWD (Front Wheel Drive),BS IV,"Front, Transverse",45,1590,3995,1770,5,10.2,6,195 / 65 R15,195 / 65 R15,5,2500,350
